                       trigger             logPbol_1eV_20MeV             logSbol_1eV_20MeV                        logEpk                    logEPR1024                        logEFR                    logFPR1024                        logT90
                          6408                 -0.152005E+02                 -0.137073E+02                  0.580712E+01                  0.210076E+02                  0.195144E+02                  0.149323E+01                  0.196065E+01
                          2767                 -0.156083E+02                 -0.153652E+02                  0.491372E+01                  0.205220E+02                  0.202789E+02                  0.243153E+00                  0.350315E+01
                          3493                 -0.141787E+02                 -0.119960E+02                  0.654164E+01                  0.207203E+02                  0.185377E+02                  0.218262E+01                  0.441896E+01
                          3029                 -0.140845E+02                 -0.111551E+02                  0.689394E+01                  0.209784E+02                  0.180490E+02                  0.292935E+01                  0.380088E+01
                           755                 -0.150073E+02                 -0.138039E+02                  0.549857E+01                  0.205058E+02                  0.193025E+02                  0.120333E+01                  0.186625E+01
                           401                 -0.159602E+02                 -0.151064E+02                  0.480319E+01                  0.207634E+02                  0.199096E+02                  0.853799E+00                  0.162058E+01
                          3840                 -0.157206E+02                 -0.158528E+02                  0.440024E+01                  0.201209E+02                  0.202531E+02                 -0.132168E+00                  0.142767E+01
                          2610                 -0.139660E+02                 -0.115695E+02                  0.648868E+01                  0.204546E+02                  0.180582E+02                  0.239648E+01                  0.388568E+01
                          6536                 -0.150886E+02                 -0.133982E+02                  0.553311E+01                  0.206217E+02                  0.189313E+02                  0.169033E+01                  0.191458E+01
                          2992                 -0.155114E+02                 -0.137255E+02                  0.533509E+01                  0.208465E+02                  0.190606E+02                  0.178588E+01                  0.282315E+01
                          7872                 -0.146907E+02                 -0.119826E+02                  0.617093E+01                  0.208616E+02                  0.181535E+02                  0.270807E+01                  0.360714E+01
                          3080                 -0.144401E+02                 -0.112093E+02                  0.651862E+01                  0.209587E+02                  0.177280E+02                  0.323076E+01                  0.388384E+01
                          6308                 -0.155111E+02                 -0.146819E+02                  0.482852E+01                  0.203396E+02                  0.195104E+02                  0.829184E+00                  0.293810E+01
                          2035                 -0.150111E+02                 -0.140926E+02                  0.507720E+01                  0.200883E+02                  0.191698E+02                  0.918501E+00                  0.162058E+01
                          1611                 -0.151526E+02                 -0.145277E+02                  0.484924E+01                  0.200019E+02                  0.193769E+02                  0.624954E+00                  0.356274E+01
                           690                 -0.160576E+02                 -0.150081E+02                  0.456603E+01                  0.206236E+02                  0.195741E+02                  0.104952E+01                  0.116315E+01
                          7973                 -0.145488E+02                 -0.129679E+02                  0.554693E+01                  0.200957E+02                  0.185148E+02                  0.158086E+01                  0.468399E+01
                          3733                 -0.156939E+02                 -0.149059E+02                  0.455221E+01                  0.202461E+02                  0.194581E+02                  0.787945E+00                  0.253687E+01
                          1204                 -0.143375E+02                 -0.142110E+02                  0.482392E+01                  0.191614E+02                  0.190349E+02                  0.126504E+00                  0.131158E+01
                          3903                 -0.154501E+02                 -0.124471E+02                  0.556765E+01                  0.210178E+02                  0.180147E+02                  0.300303E+01                  0.419614E+01
                          7517                 -0.151381E+02                 -0.148697E+02                  0.424366E+01                  0.193818E+02                  0.191133E+02                  0.268481E+00                  0.387244E+01
                          6233                 -0.154960E+02                 -0.151873E+02                  0.367953E+01                  0.191756E+02                  0.188668E+02                  0.308777E+00                  0.158185E+01
                          2325                 -0.158453E+02                 -0.141734E+02                  0.518082E+01                  0.210261E+02                  0.193542E+02                  0.167191E+01                  0.311485E+01
                          2900                 -0.151200E+02                 -0.122810E+02                  0.605810E+01                  0.211781E+02                  0.183391E+02                  0.283909E+01                  0.289813E+01
                          6425                 -0.137626E+02                 -0.131310E+02                  0.545482E+01                  0.192174E+02                  0.185858E+02                  0.631599E+00                  0.218559E+01
                          6390                 -0.129803E+02                 -0.102251E+02                  0.708045E+01                  0.200608E+02                  0.173055E+02                  0.275527E+01                  0.387516E+01
                          6137                 -0.149425E+02                 -0.143874E+02                  0.567357E+01                  0.206160E+02                  0.200610E+02                  0.555061E+00                  0.212632E+01
                          6188                 -0.151862E+02                 -0.144323E+02                  0.513246E+01                  0.203187E+02                  0.195647E+02                  0.753912E+00                  0.207141E+01
                          1626                 -0.140482E+02                 -0.131923E+02                  0.570120E+01                  0.197494E+02                  0.188935E+02                  0.855825E+00                  0.341248E+01
                          5572                 -0.138367E+02                 -0.134888E+02                  0.543180E+01                  0.192685E+02                  0.189206E+02                  0.347921E+00                  0.300073E+01
                          8073                 -0.139110E+02                 -0.131279E+02                  0.559989E+01                  0.195109E+02                  0.187278E+02                  0.783109E+00                  0.349712E+01
                          7164                 -0.151194E+02                 -0.154767E+02                  0.406406E+01                  0.191834E+02                  0.195408E+02                 -0.357361E+00                  0.311485E+01
                          6534                 -0.147464E+02                 -0.145452E+02                  0.427820E+01                  0.190246E+02                  0.188234E+02                  0.201154E+00                  0.147064E+01
                          3319                 -0.139413E+02                 -0.131748E+02                  0.536733E+01                  0.193086E+02                  0.185421E+02                  0.766531E+00                  0.532933E+01
                          2495                 -0.146029E+02                 -0.119888E+02                  0.594297E+01                  0.205459E+02                  0.179317E+02                  0.261412E+01                  0.363970E+01
                          7903                 -0.139124E+02                 -0.125421E+02                  0.567127E+01                  0.195837E+02                  0.182134E+02                  0.137027E+01                  0.318883E+01
                          1439                 -0.153516E+02                 -0.134425E+02                  0.521996E+01                  0.205716E+02                  0.186625E+02                  0.190907E+01                  0.211865E+01
                          2347                 -0.152301E+02                 -0.134882E+02                  0.519233E+01                  0.204224E+02                  0.186805E+02                  0.174191E+01                  0.249814E+01
